name,quantity,itemEffects,weight,value,description,durability,oldItemTier,,,
The Spear of Destiny,1,"Reach Slash Melee (+12) (One-handed), Slash Melee (+12) (Two-handed), Reach Spear (+12) (One-handed), Reach Spear (+12) (Two-handed), Spellcasting Focus, Destiny Chosen, Super Strength, Super Reflex, Indestructible",14,?,"""Long ago, before the time of Fellkin or Brightkin, this weapon is said to have killed a piece of a god. The Bright Lord bestowed this weapon on his most loyal ally to do the same again."" - Ancient texts

The Spear of Destiny, a massive artifact Swordspear,  is the most famous artifact on the continent. The Spear was first wielded by the Amon, Spear of the Brights, in service of The Bright Lord. Though in time, Amon would use the Spear in an attempt to overthrow The Bright Lord.

Eventually the Spear would end up in the possession of the Royal Family of the Dawn Empire, passed down to a sibling of the current Emperor. The siblings would wield the Spear as Amon did for their new emperor. For it is said that whoever wields the spear of Destiny influences the destiny of the world.

Whatever their heart truly desires will begin to manifest in the world. This is regardless of what the users think they want, it is what they truly desire.If the spear is claimed from combat or stolen by another, then the loser loses all their power. They will die in the coming days of mysterious causes.

The most famous of these was Booker Twins, the Golden Patriot. Seen as a symbol of strength and honor to the people of the Dawn Empire. Those that oppose the Dawn Empire had a much different perspective…",48/48,Artifact,,,
Dancing Moonlight,1,"Large Pierce Melee (+12) (One-handed), Large Pierce Melee (+12) (Two-handed), Large Slash Melee (+12) (One-handed), Large Slash Melee (+12) (Two-handed), Reach Pierce Melee (+12) (One-handed), Reach Pierce Melee (+12) (Two-handed), Reach Slash Melee (+12) (One-handed), Reach Slash Melee (+12) (Two-handed), Spellcasting Focus, Moonlight Greatsword, Indestructible, Blessing of the Moon",3,?,"""Ah, you were at my side all along. My true mentor. My guiding moonlight."" - Unknown

A mythic arcane longsword discovered by the first Sirens who first inhabited what is known as Reddland today. Said to be a sign of divine favor to those chosen by the Moon Presence of Terra. As a manifestation of the Moon Presence on Terra, the wielder gains access to the wisdom and power of the moon presence.

When moonlight dances around the sword, and it channels the abyssal cosmos, its great blade will hurl a shadowy lightwave. Few have ever set eyes on the great blade, and whatever guidance it has to offer, it seems to be of a very private, elusive sort.

Princess Vex'ahlia Reddington was gifted this sword upon her return to Reddland by her mother, who claimed it was her birth right. Lady Reddington used to tell tales of Vex'ahlia's birth. Lady Reddington wanted nothing more than a child, so when her medical and academic knowledge failed her, she prayed to the Moon Presence to protect the unborn child within her. Vex'ahlia was born with white hair the color of the full moon. One night when Lady Veronica went to check on the baby Vex'ahlia, this sword was leaning up against her crib playing the most wonderful lullaby she'd ever heard.",48/48,Artifact,,,
Adversary - Damaged,1,"Spellcasting Focus, Light Bound",1,?,"""Awake, arise, or be forever Fallen…"" - Words of the Bright Lord

A masterfully crafted golden sword hilt, that appears to be damaged from a tremendous impact, leaving the hilt crack and leaking light. Used as a radiance Spellcasting Focus to focus ones abilities, generally in the shape of a sword blade.

Sword of Luc Lightbringer. The hilt acts as a Miracles focus, allowing for devastating radiant attack. Luc has had this sword his entire life, a mysterious gift from when he was too young to remember. In many ways, this sword and Luc are one in the same. Elegant, bright, and extremely dangerous. Luc has spent his entire entire life learning the abilities of this artifact, though even he does not fully understand the weapon…

This sword was used in the execution of Helena by Uhtred Storm at Luc's order, though it was only used to subdue her and did not deal the final blow.",18/18,Fine,,,
Guardian Shield,1,"Shield, Phy. Def. 2.00, Retractable Shield",8,7 bc,"A medium shield capable of retracting into a small wrist item. This type of retractable shield is common across Terra, surviving as an easy means to always have a shield at one's disposal.",24/24,Superior,,,
Sharp Cap,1,"Small Slash Melee (-1) (One-handed), Small Slash Melee (-1) (Dual-wielded)",0.5,2 bc,,9/9,Shoddy,,,
Net,1,,3,1 bc,,12/12,Mundane,,,
Bodkin Knife,1,"Small Pierce Melee (+0) (One-handed), Small Pierce Melee (+0) (Dual-wielded), Small Slash Melee (+0) (One-handed), Small Slash Melee (+0) (Dual-wielded), Thrown Small Pierce Melee (+0) (One-handed), Thrown Small Pierce Melee (+0) (Dual-wielded)",1,2 bc,,12/12,Mundane,,,
War Axe,1,"Large Hew Melee (+0) (One-handed), Large Hew Melee (+0) (Two-handed)",5,5 bc,,12/12,Mundane,,,
Asher’s Arms Bollock Dagger,1,"Small Pierce Melee (+5) (One-handed), Small Pierce Melee (+5) (Dual-wielded), Small Slash Melee (+5) (One-handed), Small Slash Melee (+5) (Dual-wielded), Thrown Small Pierce Melee (+5) (One-handed), Thrown Small Pierce Melee (+5) (Dual-wielded)",1,10 bc,,24/24,Superior,,,
Dragon Torch,1,"Small Torch (+12) (One-handed), Small Torch (+12) (Dual-wielded), Spellcasting Focus",3,9999 bc,,48/48,Artifact,,,
Shovel,1,"Large Bludgeon Melee (-1) (One-handed), Large Bludgeon Melee (-1) (Two-handed)",5,2 bc,,9/9,Shoddy,,,
Excellent Light Longbow,1,Light Bow (+3) (Two-handed),2,25 bc,,21/21,Excellent,,,
Quality Swordbreaker,1,"Small Slash Melee (+1) (One-handed), Small Slash Melee (+1) (Dual-wielded), Small Pierce Melee (-1) (One-handed), Small Pierce Melee (-1) (Dual-wielded), Thrown Small Pierce Melee (-1) (One-handed), Thrown Small Pierce Melee (-1) (Dual-wielded), Swordbreaker Blade Catch",1,28 bc,,12/12,Mundane,,,
Torch,1,"Small Torch (+0) (One-handed), Small Torch (+0) (Dual-wielded)",1,1 cc,,9/9,Shoddy,,,
Shiv,1,"Small Pierce Melee (-1) (One-handed), Small Pierce Melee (-1) (Dual-wielded), Small Slash Melee (-1) (One-handed), Small Slash Melee (-1) (Dual-wielded), Thrown Small Pierce Melee (-1) (One-handed), Thrown Small Pierce Melee (-1) (Dual-wielded)",1,70 cc,,9/9,Shoddy,,,
Shoddy Club,1,"Shoddy Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded), Shoddy Thrown Small Bludgeon Melee (+0) (One-handed), Thrown Small Bludgeon Melee (+0) (Dual-wielded)",2,10 cc,,9/9,Shoddy,,,
Caestus,1,"Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded)",2,1.66 bc,,12/12,Mundane,,,
Spiked Caestus,1,"Small Pierce Melee (+0) (One-handed), Small Pierce Melee (+0) (Dual-wielded)",2,3 bc,,12/12,Mundane,,,
,,,,,,,,,,
Gambeson Armor,1,Gambeson Armor Defense,8,5 bc,,12/12,Mundane,,,
Gambeson Coat,1,Gambeson Body/Arm Defense,5,3.13 bc,,12/12,Mundane,,,
Gambeson Leggings,1,Gambeson Leg Defense,3,1.87 bc,,12/12,Mundane,,,
,,,,,,,,,,
Leather Armor,1,Leather Armor Defense,12,10 bc,,15/15,Quality,,,
Leather Helmet,1,Leather Head Defense,2,1.67 bc,,15/15,Quality,,,
Leather Cuirass and Pauldrons,1,Leather Body Defense,6,5 bc,,15/15,Quality,,,
Leather Cuisses and Greaves,1,Leather Leg Defense,2,1.66 bc,,15/15,Quality,,,
Leather Vambrace,1,Leather Arm Defense,2,1.67 bc,,15/15,Quality,,,
,,,,,,,,,,
Chainmail Armor,1,"Chainmail Armor Defense, Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded)",47,75 bp,,21/21,Excellent,,,
Chainmail Coif,1,Chainmail Head Defense,6,9.57 bc,,21/21,Excellent,,,
Chainmail Short-sleeved Hauberk,1,Chainmail Body Defense,18,28.72 bc,,21/21,Excellent,,,
Chainmail Chausses,1,Chainmail Leg Defense,11,17.55 bc,,21/21,Excellent,,,
Chainmail Sleeves/Mittens,1,"Chainmail Arm Defense, Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded)",12,19.16 bc,,21/21,Excellent,,,
,,,,,,,,,,
Brigandine Armor,1,"Brigandine Armor Defense, Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded)",52,200 bc,,27/27,Exquisite,,,
Half Helm,1,Brigandine Head Defense,5,19.23 bc,,27/27,Exquisite,,,
Brigandine Cuirass and Pauldrons,1,Brigandine Body Defense,22,84.62 bc,,27/27,Exquisite,,,
Brigandine Cuisses and Greaves,1,Brigandine Leg Defense,13,50 bc,,27/27,Exquisite,,,
Brigandine Vambrace and Gauntlets,1,"Brigandine Arm Defense, Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded)",12,46.15 bc,,27/27,Exquisite,,,
,,,,,,,,,,
Plate Armor,1,"Plate Armor Defense, Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded)",57,1495 bc,,33/33,Mastercraft,,,
Plate Full Helm,1,Plate Head Defense,6,157.37 bc,,33/33,Mastercraft,,,
Plate Cuirass and Pauldrons,1,Plate Body Defense,23,603.24 bc,,33/33,Mastercraft,,,
Plate Cuisses and Greaves,1,Plate Leg Defense,14,367.19 bc,,33/33,Mastercraft,,,
Plate Vambrace and Gauntlets,1,"Plate Leg Defense, Small Bludgeon Melee (+0) (One-handed), Small Bludgeon Melee (+0) (Dual-wielded)",14,367.19 bc,,33/33,Mastercraft,,,
,,,,,,,,,,
Buckler Shield,1,Small Shield,4,2 bc,,12/12,Mundane,,,
Targe Shield,1,Small Shield,4,2 bc,,12/12,Mundane,,,
Parma Shield,1,Small Shield,4,2 bc,,12/12,Mundane,,,
Kite Shield,1,Medium Shield,8,7 bc,,12/12,Mundane,,,
Hoplon Shield,1,Medium Shield,8,7 bc,,12/12,Mundane,,,
Pavise Shield,1,Medium Shield,8,7 bc,,12/12,Mundane,,,
Heater Shield,1,Medium Shield,8,7 bc,,12/12,Mundane,,,
Kite Shield (Dawn Emp. Crest),1,Medium Shield,8,30 bc,,24/24,Superior,,,
Tower Shield,1,Large Shield,25,150 bc,,12/12,Mundane,,,
Mantlet,1,Massive Shield,90,17 bc,,12/12,Mundane,,,
,,,,,,,,,,
Amulet Of Reflection,1,Apparel Storage,0.2,?,"""By failing to prepare, you are preparing to fail"" - Serana Reddington

First commissioned by Serana Reddington, never wanting to go with her plate.",30/30,Flawless,,,
Arsenal Charm,1,Minorly Enhanced Lift,0.2,?,"An iron charm that resembles a mass of weapons.

Minorly oosts maximum equipment load.

This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance.",21/21,Excellent,,,
Arsenal Charm +1,1,Enhanced Lift,0.2,?,"An iron charm that resembles a mass of weaponry.

Boosts maximum equipment load.

This talisman was derived from an unusual greatsword, once wielded by a hero hungry for vengeance.",30/30,Flawless,,,
Assassin's Azulian Talisman,1,Magic Resource Leech,0.2,?,"An assassin's dagger, misshapen and stained in azul.",21/21,Excellent,,,
Assassin's Crimson Talisman,1,Life Leech,0.2,?,"An assassin's dagger, misshapen and stained in crimson.",21/21,Excellent,,,
Azulian Talisman,1,Minorly Enhanced Magic Resource,0.2,?,"A medallion with azul inlaid.

Minorly boosts maximum magic resource.",21/21,Excellent,,,
Azulian Talisman +1,1,Enhanced Magic Resource,0.2,?,"A medallion with azul inlaid.

Boosts maximum magic resource.",27/27,Exquisite,,,
Azulian Talisman +2,1,Greatly Enhanced Magic Resource,0.2,?,"A medallion with azul inlaid.

Greatly boosts maximum magic resource.",33/33,Mastercraft,,,
Blessed Dew Talisman,1,Minor Healing Factor,0.2,?,"It is the common knowledge that the dew of the morning has special healing properties. This amulet is crafted with condensed morning dew, allowing it to provide subtle mending properties to those that wear it. A favorite of explorers and travelers.",24/24,Superior,,,
Claw Talisman,1,Ariel Assassin,0.2,?,A talisman depicting claws and an assassin.,30/30,Flawless,,,
Concealing Viel,1,Minorly Enhanced Stealth,0.2,?,"Talisman put together from dark cloth, with a lustrous sheen.

Conceals the wearer's presence, becoming slightly transparent at will.

A common talisman of assassins.",30/30,Flawless,,,
Crimson Medallion,1,Minorly Enhanced Vitality,0.2,?,"A medallion with Crimson amber inlaid. A precious talisman for protecting one's life.

Minorly boosts maximum vitality.",30/30,Flawless,,,
Crimson Medallion +1,1,Enhanced Vitality,0.2,?,"A medallion with Crimson amber inlaid. A precious talisman for protecting one's life.

Boosts maximum vitality.",36/36,Fabled,,,
Crimson Medallion +2,1,Great Enhanced Vitality,0.2,?,"A medallion with Crimson amber inlaid. A precious talisman for protecting one's life. An essential tool of kings and queens looking for an edge in surviving assassination attempts.

Greatly boosts maximum vitality.",42/42,Legendary,,,
Dagger Talisman,1,Enhanced Critical,0.2,?,"A talisman depicting a dagger and a surgeon.

Enhances critical hits for sneak attack and incapacitated opponents.

The white-garbed field surgeons come to the aid of friend and foe alike by dealing a final deadly thrust to spare them from the prolonged agony of a mortal wound. A sense of mercy is a catalyst for bloodlust.",30/30,Flawless,,,
Fire Dragon Scale Talisman,1,Minor Fire Resistance,0.2,?,A metal talisman with a symbol evoking the image of fire on it. This Runecrafted item provides resistance to heat and fire to those that wear it.,21/21,Excellent,,,
Fire Dragon Scale Talisman +1,1,Medium Fire Resistance,0.2,?,A metal talisman with twin symbols evoking the image of fire on it. This more powerful Runecrafted item provides substantial protection against fire and heat to those that wear it.,27/27,Exquisite,,,
Fire Dragon Scale Talisman +2,1,Major Fire Resistance,0.2,?,"A metal talisman with three symbols evoking the image of fire on it. This Runecrafted item gives its wearer nigh immunity to most common blazes, allowing its wearer to do some things like stand in fires or eat burning rods without being injured.",33/33,Mastercraft,,,
Frost Dragon Scale Talisman,1,Minor Cold Resistance,0.2,?,,21/21,Excellent,,,
Frost Dragon Scale Talisman +1,1,Medium Cold Resistance,0.2,?,,27/27,Exquisite,,,
Frost Dragon Scale Talisman +2,1,Major Cold Resistance,0.2,?,,33/33,Mastercraft,,,
Great Arsenal Talisman,1,Greatly Enhanced Lift,0.2,?,"A charm that resembles a great jar overflowing with weaponry.

Greatly boosts maximum equipment load.",39/39,Epic,,,
Great Steel Dragon Scale Talisman,1,"Extreme Hew Resistance, Extreme Slash Resistance, Extreme Bludgeon Resistance, Extreme Shockwave Resistance",0.2,?,"A larger wrought iron talisman in the shape of a greatshield with an imposing Steel Dragon emblazoned on its face. These talismans are extremely rare and expensive to make, meaning that only the upper echelons of society have access to them. Often worn by extremely wealthy merchants, royalty and even the Emperor, these powerful Runecrafted items often never see the battlefield they were intended for.",42/42,Legendary,,,
Green Turtle Talisman,1,Minorly Enhanced Endurance,0.2,?,"A talisman in the shape of a green turtle.

Minorly raises stamina recovery speed.

Turtles are known as a nutritious ingredient, symbolic of inexhaustible power.

However, those who hold turtles to be wise creatures consider the practice of eating their meat to be barbarous.",21/21,Excellent,,,
Lightning Dragon Scale Talisman,1,Minor Lightning Resistance,0.2,?,A metal talisman with a symbol evoking the image of lightning on it. This Runecrafted item provides some resistance to electricity and shocks to those that wear it.,21/21,Excellent,,,
Lightning Dragon Scale Talisman +1,1,Medium Lightning Resistance,0.2,?,A metal talisman with two symbols evoking the image of lightning on it. This more powerful Runecrafted item provides substantial protection against electricity and shocks to those that wear it.,27/27,Exquisite,,,
Lightning Dragon Scale Talisman +2,1,Major Lightning Resistance,0.2,?,"A metal talisman with three symbols evoking the image of lightning on it. This Runecrafted item gives its wearer nigh immunity to most common shocks, allowing its wearer to do some things like be struck by lightning with low risk of being injured.",33/33,Mastercraft,,,
Longtail Cat Talisman,1,Minorly Enhanced Dexterity,0.2,?,A brooch depicting a long-tailed cat.,21/21,Excellent,,,
Pearl Dragon Scale Talisman,1,Minor Psychic Resistance,0.2,?,,21/21,Excellent,,,
Pearl Dragon Scale Talisman +1,1,Medium Psychic Resistance,0.2,?,,27/27,Exquisite,,,
Pearl Dragon Scale Talisman +2,1,Major Psychic Resistance,0.2,?,,33/33,Mastercraft,,,
Radiant Dragon Scale Talisman,1,Minor Radiant Resistance,0.2,?,,21/21,Excellent,,,
Radiant Dragon Scale Talisman +1,1,Medium Radiant Resistance,0.2,?,,27/27,Exquisite,,,
Radiant Dragon Scale Talisman +2,1,Major Radiant Resistance,0.2,?,,33/33,Mastercraft,,,
Rejuvenation Talisman,1,Enhanced Healing,0.2,?,A talisman made to enhance the healing process. A precious possession of doctors and healers.,39/39,Epic,,,
Steel Dragon Scale Talisman,1,"Minor Hew Resistance, Minor Slash Resistance, Minor Bludgeon Resistance, Minor Shockwave Resistance",0.2,?,"A wrought iron talisman made with the visage of a mighty Steel Dragon. While quite common among defensive Runecrafted items, it is still a boon to any common soldier or mercenary.",21/21,Excellent,,,
Steel Dragon Scale Talisman +1,1,"Medium Hew Resistance, Medium Slash Resistance, Medium Bludgeon Resistance, Medium Shockwave Resistance",0.2,?,,27/27,Exquisite,,,
Steel Dragon Scale Talisman +2,1,"Major Hew Resistance, Major Slash Resistance, Major Bludgeon Resistance, Major Shockwave Resistance",0.2,?,,33/33,Mastercraft,,,
Viridian Medallion Talisman,1,Minorly Enhanced Endurance,0.2,?,A medallion with viridian inlaid.,21/21,Excellent,,,
Viridian Medallion Talisman +1,1,Enhanced Endurance,0.2,?,A medallion with viridian inlaid.,30/30,Flawless,,,
Viridian Medallion Talisman +2,1,Greatly Enhanced Endurance,0.2,?,A medallion with viridian inlaid.,39/39,Epic,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Cracked Brightstone Ring,1,,0,?,,21/21,Excellent,,,
Dragonguard,1,"Body Armor, Phy. Def. 2.01, Dragon Threat Sense, Dragon Breath Resistance",23,603.24 bc,"This breastplate has a dragon motif etched into its design. Created for a dragon fighting hero of Reddland, who's name has been lost to time. This armor provides good protection for the wearer's vital organs.",33/33,Mastercraft,,,
,,,,,,,,,,
Light Arrow - Broadhead,20,Standard Light Arrow,0.05,5 cc,,,Mundane,,,
Light Arrow - Barbed Broadhead,20,Wounding Light Arrow,0.05,7 cc,,,Mundane,,,
Light Arrow - Bodkin,20,Anti-armor Light Arrow,0.05,10 cc,,,Mundane,,,
Light Arrow - Wood Tipped,20,Survival Light Arrow,0.05,2 cc,,,Shoddy,,,
Light Arrow - Rusted Broadhead,20,Shoddy Light Arrow,0.05,3 cc,,,Shoddy,,,
,,,,,,,,,,
Heavy Arrow - Broadhead,20,Standard Heavy Arrow,0.05,5 cc,,,Mundane,,,
Heavy Arrow - Barbed Broadhead,20,Wounding Heavy Arrow,0.05,7 cc,,,Mundane,,,
Heavy Arrow - Bodkin,20,Anti-armor Heavy Arrow,0.05,10 cc,,,Mundane,,,
Heavy Arrow - Wood Tipped,20,Survival Heavy Arrow,0.05,2 cc,,,Shoddy,,,
Heavy Arrow - Rusted Broadhead,20,Shoddy Heavy Arrow,0.05,3 cc,,,Shoddy,,,
,,,,,,,,,,
Light Bolt - Broadhead,20,Standard Light Bolt,0.075,5 cc,,,Mundane,,,
Light Bolt - Barbed Broadhead,20,Wounding Light Bolt,0.075,7 cc,,,Mundane,,,
Light Bolt - Bodkin,20,Anti-armor Light Bolt,0.075,10 cc,,,Mundane,,,
Light Bolt - Wood Tipped,20,Survival Light Bolt,0.075,2 cc,,,Shoddy,,,
Light Bolt - Rusted Broadhead,20,Shoddy Light Bolt,0.075,3 cc,,,Shoddy,,,
,,,,,,,,,,
Heavy Bolt - Broadhead,20,Standard Heavy Bolt,0.075,5 cc,,,Mundane,,,
Heavy Bolt - Barbed Broadhead,20,Wounding Heavy Bolt,0.075,7 cc,,,Mundane,,,
Heavy Bolt - Bodkin,20,Anti-armor Heavy Bolt,0.075,10 cc,,,Mundane,,,
Heavy Bolt - Wood Tipped,20,Survival Heavy Bolt,0.075,2 cc,,,Shoddy,,,
Heavy Bolt - Rusted Broadhead,20,Shoddy Heavy Bolt,0.075,3 cc,,,Shoddy,,,
,,,,,,,,,,
Sling Bullets,50,Standard Sling Bullets,0.075,8 tc,,,Mundane,,,
Blowguns Needles Plain,20,Plain Needles,0.05,5 cc,,,Mundane,,,
,,,,,,,,,,
30 lb of gold and gems,1,,30,?,,,Exquisite,,,
"Guard's Uniform, Traveler's",1,,4,2 bc,,,Mundane,,,
Mother's Necklace,1,,0.1,?,,,Mundane,,,
Mother's Jeweled Braclet,1,,0.1,?,,,Mundane,,,
Bag of Ball Bearings,1000,,0.002,10 tc,,,Mundane,,,
Bell,1,,0.1,70 cc,,,Mundane,,,
Block and Tackle,1,,5,70 cc,,,Mundane,,,
Chain (10 feet),1,,10,3 bc,,,Mundane,,,
Grappling Hook,1,,4,2 bc,,,Mundane,,,
Hunting Trap,1,,25,5 bc,,,Mundane,,,
Lamp,1,,1,50 cc,,,Mundane,,,
"Lantern, Bullseye",1,,2,10 bc,,,Mundane,,,
"Lantern, Hooded",1,,2,5 bc,,,Mundane,,,
Lock,1,,1,10 bc,,,Mundane,,,
Manacles,1,,6,2 bc,,,Mundane,,,
"Mirror, Steel",1,,0.5,5 bc,,,Mundane,,,
Whetstone,1,,1,1 cc,,,Mundane,,,
Carpenter's Tools,1,,6,6 bc,,,Mundane,,,
Mason's Tools,1,,8,7 bc,,,Mundane,,,
Light Bowstring,1,,0.05,8 cc,,,Mundane,,,
Heavy Bowstring,1,,0.05,10 cc,,,Mundane,,,
Hand Crossbow Bowstring,1,,0.05,10 cc,,,Mundane,,,
Light Crossbow Bowstring,1,,0.05,8 cc,,,Mundane,,,
Heavy Crossbow Bowstring,1,,0.05,20 cc,,,Mundane,,,
"Case, Crossbow Bolts (capacity: 20)",1,,1,1 bc,,,Mundane,,,
Quiver (capacity: 20),1,,1,1 bc,,,Mundane,,,
Waterskin (0/4),1,,1,20 cc,,,Mundane,,,
Waterskin (4/4),1,,5,20 cc,,,Mundane,,,
Cobbler's Tools,1,,5,5 bc,,,Mundane,,,
Leatherworker's Tools,1,,10,5 bc,,,Mundane,,,
Bagpipes,1,,6,30 bc,,,Mundane,,,
Drum,1,,3,6 bc,,,Mundane,,,
Alms Box,1,,1,5 bc,,,Mundane,,,
Bell,1,,1,1 bc,,,Mundane,,,
Blanket,1,,3,50 cc,,,Mundane,,,
"Book, Scripture",1,,0.5,25 bc,,,Mundane,,,
Candle,1,,0.1,1 cc,,,Mundane,,,
"Case, Map or Scroll",1,,1,1 bc,,,Mundane,,,
Censer,1,,1,5 bc,,,Mundane,,,
Chalk (1 piece),1,,0.1,1 cc,,,Mundane,,,
Flask,1,,1,2 cc,,,Mundane,,,
Healer's Kit,1,,3,5 bc,,,Mundane,,,
Amulet - Holy Symbol,1,,1,5 bc,,,Mundane,,,
Emblem,1,,0.1,5 bc,,,Mundane,,,
Reliquary,1,,2,5 bc,,,Mundane,,,
Blessed Water (flask),1,,1,25 bc,,,Mundane,,,
Incense (1 block),1,,0.1,1 cc,,,Mundane,,,
Ink (1 ounce bottle),1,,0.1,10 bc,,,Mundane,,,
Ink Pen (Fountain),1,,0.05,3 bc,,,Mundane,,,
Oil (flask),1,,1,10 cc,,,Mundane,,,
Paper (one sheet),1,,0,20 cc,,,Mundane,,,
Parchment (one sheet),1,,0,10 cc,,,Mundane,,,
Perfume (vial),1,,0.1,5 bc,,,Mundane,,,
Vial of Minor Healing Factor Blood,1,Minor Healing Factor,0.25,50 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington.",,Mundane,,,
Vial of Minor Healing Blood,1,Minor Heal,0.25,50 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington.",,Mundane,,,
Vial of Medium Healing Blood,1,Medium Heal,0.25,250 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington.",,Excellent,,,
Vial of Serious Healing Blood,1,Serious Heal,0.25,2500 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington.",,Flawless,,,
Vial of Fatal Healing Blood,1,Fatal Heal,0.25,12500 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington.",,Epic,,,
Vial of Revival Healing Blood,1,Revival Heal,0.25,62500 bc,"Special blood invented by Veronica Reddington. Heals wounds and can cure a spore infection.

The process of creating Healing blood is a closely guarded secret of House Reddington, as it is Reddwall's largest export. During the spore epidemic, healing blood was the only known way of curing the spore infection, greatly increasing the political power of House Reddington.",,Legendary,,,
Rations (1 day),1,,2,50 cc,,,Mundane,,,
Vial,1,,0.1,1 bc,,,Mundane,,,
Calligrapher's Supplies,1,,5,10 bc,,,Mundane,,,
Herbalism Kit,1,,3,5 bc,,,Mundane,,,
Flute,1,,2,2 bc,,,Mundane,,,
Lyre,1,,2,30 bc,,,Mundane,,,
Horn,1,,2,3 bc,,,Mundane,,,
Sealing Wax,1,,0,10 bc,,,Mundane,,,
"Common Book, Soft Bound",1,,1,5 bc,,,Mundane,,,
"Common Book, Hard Bound",1,,1,2 bc,,,Mundane,,,
"Uncommon Book, Soft Bound",1,,1,30 bc,,,Mundane,,,
"Uncommon Book, Hard Bound",1,,1,3 bc,,,Mundane,,,
"Rare Book, Soft Bound",1,,1,10 bc,,,Mundane,,,
"Rare Book, Hard Bound",1,,1,5 bc,,,Mundane,,,
Abacus,1,,2,2 bc,,,Mundane,,,
Barrel,1,,70,2 bc,,,Mundane,,,
"Bottle, glass",1,,2,2 bc,,,Mundane,,,
Bucket,1,,2,5 bc,,,Mundane,,,
Chest,1,300 lb container,25,5 bc,,,Mundane,,,
"Clothes, Common",1,,3,50 cc,,,Mundane,,,
"Clothes, Fine",1,,6,15 bc,,,Mundane,,,
Royal Morraki Attire/Cloak,1,,6,15 bc,,,Mundane,,,
Shoddy Morraki Attire/Cloak,1,,4,15 bc,,,Mundane,,,
Flask or Tankard,1,,1,2 cc,,,Mundane,,,
"Journal, Soft Bound, 25 Sheets",1,,1,7 bc,,,Mundane,,,
Jug or PitcherJug or Pitcher,1,,4,2 cc,,,Mundane,,,
Ladder (10-foot),1,,25,10 cc,,,Mundane,,,
String (10 feet),1,,0,1 cc,,,Mundane,,,
Mess Kit,1,,1,20 cc,,,Mundane,,,
"Pot, Iron",1,,10,2 bc,,,Mundane,,,
Pouch,1,6 lb container,1,50 cc,,,Mundane,,,
"Rope, Hempen (50 feet)",1,,10,1 bc,,,Mundane,,,
"Rope, Silk (50 feet)",1,,5,10 bc,,,Mundane,,,
Sack,1,,0.5,1 cc,,,Mundane,,,
"Scale, Merchant's",1,,3,5 bc,,,Mundane,,,
,,,,,,,,,,
Soap,1,,0.5,2 cc,,,Mundane,,,
Vial,1,,0.2,1 bc,,,Mundane,,,
Carpenter's Tools,1,,6,8 bc,,,Mundane,,,
Cook's Utensils,1,,8,1 bc,,,Mundane,,,
Glassblower's Tools,1,,7,30 bc,,,Mundane,,,
Mason's Tools,1,,8,10 bc,,,Mundane,,,
Potter's Tools,1,,3,10 bc,,,Mundane,,,
Smith's Tools,1,,8,20 bc,,,Mundane,,,
Weaver's Tools,1,,5,1 bc,,,Mundane,,,
Woodcarver's Tools,1,,5,1 bc,,,Mundane,,,
Backpack,1,30 lb container,5,2 bc,,,Mundane,,,
Bedroll,1,,7,1 bc,,,Mundane,,,
Block and Tackle,1,,5,1 bc,,,Mundane,,,
Chain (10 feet),1,,10,5 bc,,,Mundane,,,
Climber's Kit,1,,12,25 bc,,,Mundane,,,
"Clothes, Traveler's",1,,4,2 bc,,,Mundane,,,
Hourglass,1,,1,25 bc,,,Mundane,,,
Piton,1,,0.25,5 cc,,,Mundane,,,
